week,region,country,admin1,event_type,sub_event_type,events,fatalities,population_exposure,disorder_type,centroid_latitude,centroid_longitude
2026-08-15,"South Asia",Bangladesh,Barisal,Protests,"Peaceful protest",2,0,0,Demonstrations,22.429,90.236
2026-08-15,"South Asia",Bangladesh,Chittagong,Riots,"Mob violence",5,0,0,"Political violence",22.246,92.213
2026-08-15,"South Asia",Bangladesh,Chittagong,"Strategic developments",Agreement,1,0,0,"Strategic developments",22.246,92.213
2026-08-15,"South Asia",Bangladesh,Chittagong,"Strategic developments",Other,1,0,0,"Strategic developments",22.246,92.213
2026-08-15,"South Asia",Bangladesh,Chittagong,Protests,"Peaceful protest",2,0,"38,579",Demonstrations,22.246,92.213
2026-08-15,"South Asia",Bangladesh,Dhaka,"Strategic developments",Other,1,0,0,"Strategic developments",23.819,90.220
2026-08-15,"South Asia",Bangladesh,Dhaka,Riots,"Mob violence",6,1,"112,245","Political violence",23.819,90.220
2026-08-15,"South Asia",Bangladesh,Dhaka,"Violence against civilians",Attack,2,2,"187,221","Political violence",23.819,90.220
2026-08-15,"South Asia",Bangladesh,Dhaka,Protests,"Peaceful protest",6,0,"112,245",Demonstrations,23.819,90.220
2026-08-15,"South Asia",Bangladesh,Dhaka,"Strategic developments","Disrupted weapons use",1,0,0,"Strategic developments",23.819,90.220
2026-08-15,"South Asia",Bangladesh,Dhaka,Riots,"Violent demonstration",1,0,"61,028",Demonstrations,23.819,90.220
2026-08-15,"South Asia",Bangladesh,Dhaka,"Strategic developments","Looting/property destruction",1,0,0,"Strategic developments",23.819,90.220
2026-08-15,"South Asia",Bangladesh,Khulna,Riots,"Violent demonstration",1,0,"71,472",Demonstrations,23.139,89.328
2026-08-15,"South Asia",Bangladesh,Khulna,"Strategic developments",Other,1,0,0,"Strategic developments",23.139,89.328
2026-08-15,"South Asia",Bangladesh,Khulna,Riots,"Mob violence",4,1,"119,523","Political violence",23.139,89.328
2026-08-15,"South Asia",Bangladesh,Khulna,"Strategic developments","Disrupted weapons use",1,0,0,"Strategic developments",23.139,89.328
2026-08-15,"South Asia",Bangladesh,Mymensingh,Riots,"Mob violence",1,1,0,"Political violence",24.824,90.418
2026-08-15,"South Asia",Bangladesh,Mymensingh,Protests,"Peaceful protest",1,0,0,Demonstrations,24.824,90.418
2026-08-15,"South Asia",Bangladesh,Mymensingh,Riots,"Violent demonstration",1,0,0,Demonstrations,24.824,90.418
2026-08-15,"South Asia",Bangladesh,Rajshahi,Protests,"Peaceful protest",1,0,"22,551",Demonstrations,24.554,88.933
2026-08-15,"South Asia",Bangladesh,Rajshahi,"Violence against civilians",Attack,1,0,0,"Political violence",24.554,88.933
2026-08-15,"South Asia",Bangladesh,Rajshahi,Riots,"Mob violence",3,0,0,"Political violence",24.554,88.933
2026-08-15,"South Asia",Bangladesh,Rangpur,Protests,"Peaceful protest",2,0,"21,941",Demonstrations,25.897,88.967
2026-08-15,"South Asia",Bangladesh,Sylhet,Protests,"Peaceful protest",1,0,0,Demonstrations,24.599,91.715
2026-08-15,"South Asia",Bangladesh,Sylhet,"Strategic developments","Disrupted weapons use",1,0,0,"Strategic developments",24.599,91.715
2026-08-15,"South Asia",Bangladesh,Sylhet,Riots,"Mob violence",1,0,0,"Political violence",24.599,91.715
2026-08-15,"South Asia",India,"Andaman and Nicobar Islands",Protests,"Peaceful protest",8,0,"17,161",Demonstrations,12.603,92.825
2026-08-15,"South Asia",India,"Andhra Pradesh",Protests,"Peaceful protest",22,0,"273,248",Demonstrations,15.897,79.622
2026-08-15,"South Asia",India,Assam,Riots,"Mob violence",3,0,0,"Political violence",26.053,90.762
2026-08-15,"South Asia",India,Assam,Protests,"Peaceful protest",22,0,"84,495",Demonstrations,26.053,90.762
2026-08-15,"South Asia",India,Assam,"Strategic developments",Other,1,0,0,"Strategic developments",26.053,90.762
2026-08-15,"South Asia",India,Bihar,"Strategic developments","Disrupted weapons use",1,0,0,"Strategic developments",25.903,86.125
2026-08-15,"South Asia",India,Bihar,Protests,"Protest with intervention",1,0,"81,650",Demonstrations,25.903,86.125
2026-08-15,"South Asia",India,Bihar,Riots,"Violent demonstration",1,0,0,Demonstrations,25.903,86.125
2026-08-15,"South Asia",India,Bihar,Protests,"Peaceful protest",4,0,"81,650",Demonstrations,25.903,86.125
2026-08-15,"South Asia",India,Chandigarh,Protests,"Peaceful protest",2,0,"39,933",Demonstrations,30.726,76.787
2026-08-15,"South Asia",India,Chhattisgarh,Protests,"Peaceful protest",3,0,"33,770",Demonstrations,20.950,81.509
2026-08-15,"South Asia",India,Delhi,"Strategic developments",Arrests,1,0,0,"Strategic developments",28.645,77.123
2026-08-15,"South Asia",India,Delhi,Protests,"Peaceful protest",6,0,"255,653",Demonstrations,28.645,77.123
2026-08-15,"South Asia",India,Delhi,Riots,"Mob violence",1,0,0,"Political violence",28.645,77.123
2026-08-15,"South Asia",India,Delhi,Protests,"Protest with intervention",1,0,"76,637",Demonstrations,28.645,77.123
2026-08-15,"South Asia",India,Delhi,Riots,"Violent demonstration",1,0,0,Demonstrations,28.645,77.123
2026-08-15,"South Asia",India,Goa,Protests,"Peaceful protest",3,0,0,Demonstrations,15.351,74.104
2026-08-15,"South Asia",India,Gujarat,Protests,"Protest with intervention",1,0,"29,446",Demonstrations,22.416,72.043
2026-08-15,"South Asia",India,Gujarat,Riots,"Violent demonstration",1,0,0,Demonstrations,22.416,72.043
2026-08-15,"South Asia",India,Gujarat,Protests,"Peaceful protest",1,0,0,Demonstrations,22.416,72.043
2026-08-15,"South Asia",India,Haryana,"Strategic developments",Other,1,0,0,"Strategic developments",29.294,76.053
2026-08-15,"South Asia",India,Haryana,"Strategic developments",Arrests,1,0,0,"Strategic developments",29.294,76.053
2026-08-15,"South Asia",India,Haryana,Riots,"Violent demonstration",1,0,0,Demonstrations,29.294,76.053
2026-08-15,"South Asia",India,Haryana,Protests,"Peaceful protest",22,0,"224,666",Demonstrations,29.294,76.053
2026-08-15,"South Asia",India,Haryana,Protests,"Protest with intervention",1,0,0,Demonstrations,29.294,76.053
2026-08-15,"South Asia",India,Haryana,"Violence against civilians",Attack,1,0,0,"Political violence",29.294,76.053
2026-08-15,"South Asia",India,"Himachal Pradesh",Protests,"Peaceful protest",11,0,"45,870",Demonstrations,31.816,77.322
2026-08-15,"South Asia",India,"Jammu and Kashmir",Protests,"Peaceful protest",47,0,"169,791",Demonstrations,33.531,75.181
2026-08-15,"South Asia",India,"Jammu and Kashmir",Protests,"Protest with intervention",1,0,"13,734",Demonstrations,33.531,75.181
2026-08-15,"South Asia",India,"Jammu and Kashmir","Violence against civilians",Attack,1,0,"1,368","Political violence",33.531,75.181
2026-08-15,"South Asia",India,"Jammu and Kashmir","Strategic developments","Disrupted weapons use",1,0,0,"Strategic developments",33.531,75.181
2026-08-15,"South Asia",India,Jharkhand,Protests,"Protest with intervention",2,0,"103,340",Demonstrations,23.652,85.167
2026-08-15,"South Asia",India,Jharkhand,Protests,"Peaceful protest",4,0,"54,145",Demonstrations,23.652,85.167
2026-08-15,"South Asia",India,Jharkhand,"Strategic developments",Other,1,0,0,"Strategic developments",23.652,85.167
